id,price_doc
30474,6178648.154863935
30475,7903222.480359453
30476,5579069.67142363
30477,5956732.508087194
30478,5480505.0678178165
30479,10342275.210785
30480,4519599.951223064
30481,4545529.571307046
30482,4810382.470045813
30483,5589952.918706873
30484,6566899.208406687
30485,5459180.3044863315
30486,4087193.994278232
30487,5011659.623120572
30488,6380760.801796075
30489,5436045.693105581
30490,21056238.594433818
30491,19022197.72719086
30492,6302021.881286216
30493,14993566.28855971
30494,7360404.136269276
30495,11653348.014577873
30496,7621607.022297716
30497,8060766.172339096
30498,4501142.182003085
30499,7533186.777297152
30500,11829582.83960673
30501,7505837.944866951
30502,3537848.965363081
30503,5991208.332498547
30504,6796080.979391383
30505,10782969.08859581
30506,2783938.378817847
30507,5204555.213823274
30508,5748910.38335571
30509,8435526.987574402
30510,9342597.25843144
30511,6767578.489576253
30512,7026476.535385543
30513,4559091.473908026
30514,3060643.0518226293
30515,9412363.407547684
30516,6053202.986768095
30517,12542148.818029193
30518,8390703.46967242
30519,5748829.402812701
30520,9086662.18359483
30521,5901135.248475441
30522,8210623.486701054
30523,7125834.826831923
30524,9416659.529500132
30525,14660501.383943023
30526,5434241.244731407
30527,5358802.300214935
30528,7191907.873032438
30529,6985818.693609702
30530,7628407.785530049
30531,12924227.77492461
30532,4538307.609618032
30533,11860982.30327482
30534,7263082.469787524
30535,9365848.925098108
30536,5719621.9000251675
30537,10383249.83317023
30538,5946667.73779204
30539,8974623.601981794
30540,9536404.645137543
30541,7843147.02428293
30542,2434667.1092840885
30543,5424939.292989185
30544,7544839.4655973185
30545,9795898.231502227
30546,4551119.068261031
30547,10714200.18410163
30548,4544539.736211639
30549,5502641.560129373
30550,10295696.926511846
30551,5421163.175924724
30552,2300168.632864945
30553,7976249.6550396485
30554,10290700.767364405
30555,5968484.375323712
30556,9823526.724229336
30557,9003943.132289628
30558,8821665.494390033
30559,7353611.456880933
30560,7389531.600869823
30561,7772585.166502416
30562,12797502.9655014
30563,5631779.52834636
30564,6843534.889434049
30565,6990289.746926369
30566,6723827.68978436
30567,2374715.9540330535
30568,10634379.07815078
30569,9379462.030306704
30570,6751268.358804858
30571,9772131.496524872
30572,5344905.401902469
30573,6578554.420621825
30574,7126353.69663914
30575,9930925.627100624
30576,5736051.735141566
30577,4771489.765075827
30578,2833161.3841438736
30579,8142639.909838038
30580,5405429.527604948
30581,5959023.341817509
30582,14522254.399904197
30583,7432992.171613276
30584,4821748.421402152
30585,3923279.942530968
30586,9800513.785687825
30587,6113869.6399826845
30588,8900088.44317163
30589,7821709.2532573985
30590,11251427.535665536
30591,5336427.352568582
30592,7812844.571562769
30593,8106146.126234514
30594,6722891.093209147
30595,6330907.7864757525
30596,6796139.291444321
30597,6578554.420621825
30598,9533202.042871168
30599,11622507.592359956
30600,6017316.982403266
30601,6486288.064167013
30602,2339989.5657878085
30603,12108039.109441105
30604,4751913.440306143
30605,6690006.976102284
30606,17410536.281000204
30607,6076123.754747245
30608,9152924.322821898
30609,5516590.894035161
30610,3407758.730176928
30611,5748910.38335571
30612,7827926.839171507
30613,10237630.904465519
30614,16262489.856991027
30615,7554700.7246883465
30616,5815614.47989052
30617,9412203.953559851
30618,5469698.773696179
30619,5186439.10611567
30620,2893037.301594724
30621,9296753.983739516
30622,9726773.912803926
30623,6189943.946528135
